,25세,26세,27세,28세,29세,30세,31세,32세,33세,34세,35세,36세,37세,38세,39세,40세,41세,42세,43세,44세,45세,46세,47세,48세,49세,50세,51세,52세,53세,54세,55세,56세,57세,58세,59세,60세,61세,62세,63세
138개월,1,1,1,1,1,2,3,3,3,3,4,3,4,5,5,4,2,1,1,1,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,1,1,1,1
132개월,1,1,1,1,1,2,3,3,3,3,4,3,4,5,5,4,2,1,1,1,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,1,1,1,1
126개월,1,1,1,1,1,2,3,3,3,3,4,3,4,5,5,4,2,1,1,1,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,1,1,1,1
120개월,1,1,1,1,1,2,3,3,3,3,4,3,4,5,5,4,2,1,1,1,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,1,1,1,1
114개월,1,1,1,1,1,2,3,3,3,3,4,3,4,5,5,4,2,1,1,1,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,1,1,1,1
108개월,1,1,1,1,1,2,3,3,3,3,4,3,4,5,5,4,2,1,1,1,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,1,1,1,1
102개월,1,1,1,1,2,2,3,3,2,3,4,3,4,5,5,4,2,1,1,1,2,2,2,2,2,3,3,3,2,2,2,2,2,1,1,1,1,1,1
96개월,1,1,1,1,2,2,3,3,2,3,4,3,4,5,5,4,2,1,1,1,2,2,2,2,2,3,3,3,2,2,2,2,2,1,1,1,1,1,1
90개월,1,1,1,1,2,2,3,3,2,3,4,3,4,5,5,4,2,1,1,1,2,2,2,2,2,3,3,3,2,2,2,2,2,1,1,1,1,1,1
84개월,1,1,1,1,2,2,3,3,2,3,4,3,4,5,5,4,3,1,2,2,3,2,3,3,3,3,4,4,2,3,3,3,3,2,1,2,2,1,2
78개월,1,1,1,1,2,2,3,3,2,3,4,3,4,5,5,4,3,1,2,2,3,2,3,3,3,3,4,4,2,3,3,3,3,2,1,2,2,1,2
72개월,1,1,1,1,2,2,3,3,2,3,4,3,4,4,4,4,2,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,1,2,2,1,2
66개월,1,1,1,1,2,2,3,2,2,3,4,3,4,4,5,4,3,2,2,2,1,2,2,2,2,2,3,2,3,3,2,2,2,2,2,2,2,2,2
60개월,1,1,1,1,2,2,3,2,2,3,4,2,5,5,5,4,3,2,2,2,1,1,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2
54개월,1,1,1,1,2,2,3,2,2,3,4,2,5,5,5,4,3,2,2,2,1,1,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2
48개월,1,1,1,1,2,2,3,2,2,3,4,2,5,5,5,4,3,2,2,2,1,1,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2
42개월,1,1,1,1,2,2,3,2,2,3,4,2,5,5,5,4,3,2,2,2,1,1,1,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2
36개월,1,1,1,1,1,1,2,2,2,3,4,2,5,5,5,4,3,2,2,2,1,1,1,2,2,2,2,2,3,2,3,3,3,2,2,1,1,1,1
30개월,1,1,1,1,1,1,2,2,2,3,4,3,6,6,5,4,3,2,2,2,1,1,1,1,2,2,2,2,3,3,4,4,3,4,3,2,2,2,2
24개월,1,1,1,1,1,1,2,2,2,3,4,3,6,6,5,4,3,2,2,2,1,1,1,1,2,2,2,2,3,3,4,4,3,4,3,2,2,2,2
18개월,1,1,1,1,1,1,2,2,2,3,4,3,6,6,5,4,3,2,2,2,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2
12개월,1,1,1,1,1,1,2,2,2,3,4,3,6,6,5,4,3,2,2,2,1,1,1,1,2,2,2,2,2,4,3,3,3,3,2,3,2,2,2
